asin,brand,currency,discount,final_price,images_count,initial_price,item_weight,rating,reviews_count,root_bs_rank,seller_id,seller_name,timestamp,title,video_count,categories,number_of_sellers,main_category,main_rank,quantity_in_stock,is_in_stock,book_format,discount_pct,discount_range,price_range,num_reviews_range
0008387753,J. R. R. Tolkien,USD,18.87,41.12,1,59.99,1162.0352,4.8,20453,99974.0,AZOLNCI5GS0EX,Basi6 InternationalBasi6 International,2021-12-21 23:23:19,The Hobbit & The Lord of the Rings Boxed Set,0,Literature & Fiction - Mythology & Folk Tales,19.0,224,0.4444444444444445,13.0,1,Vinyl Bound,31.455242540423406,30%+,$30+,20000-30000
0060244887,C. S. Lewis,USD,66.01,53.99,2,120.0,2859.696,4.8,11222,3717.0,ATVPDKIKX0DER,Amazon,2021-12-21 23:35:37,The Chronicles of Narnia (Box Set),0,Children's Books - Literature & Fiction,19.0,127,0.060606060606060615,12.0,1,Kindle,55.00833333333334,30%+,$30+,10000-20000
0060254920,Maurice Sendak,USD,6.75,13.2,6,19.95,408.24,4.9,27536,463.0,ATVPDKIKX0DER,-OnTimeBooks-,2021-12-21 23:35:38,Where the Wild Things Are,0,Children's Books - Science Fiction & Fantasy,19.0,48,0.30303030303030304,,1,Audiobook,33.83458646616542,30%+,$10-$20,20000-30000
0060256656,Shel Silverstein,USD,8.9,9.09,3,17.99,453.92,4.9,23158,797.0,ATVPDKIKX0DER,FindAnyBook,2021-12-21 23:35:54,The Giving Tree,0,Children's Books - Classics,19.0,55,0.30303030303030304,,1,Kindle,49.471928849360765,30%+,< $10,20000-30000
0060555661,Benjamin GrahamJason Zweig,USD,10.7,14.29,3,24.99,481.15520000000004,4.7,28414,265.0,ATVPDKIKX0DER,Benjamins Bookshelf,2021-12-21 23:23:20,The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,0,Business & Money - Investing,19.0,32,0.13131313131313133,,1,Kindle,42.817126850740294,30%+,$10-$20,20000-30000
0060652888,C. S. Lewis,USD,2.5,22.49,5,24.99,425.25,4.8,10958,10206.0,ATVPDKIKX0DER,Media Relay LLC,2021-12-21 23:23:14,Mere Christianity,0,Christian Books & Bibles - Christian Living,19.0,104,0.6565656565656567,,1,Kindle,10.004001600640256,10%-20%,$20-$30,10000-20000
0060652926,C. S. Lewis,USD,3.3,13.69,4,16.99,195.615,4.8,10958,1070.0,ATVPDKIKX0DER,Vivé Liber Books LLC,2021-12-21 23:35:45,Mere Christianity,0,Christian Books & Bibles - Christian Living,19.0,325,0.030303030303030304,,1,Kindle,19.42319011183049,10%-20%,$10-$20,10000-20000
0062439596,Sally Thorne,USD,3.4,12.59,3,15.99,294.84000000000003,4.5,14801,495.0,ATVPDKIKX0DER,Amazon,2021-12-21 23:23:27,The Hating Game: A Novel,0,Humor & Entertainment - Humor,19.0,151,0.9191919191919193,,1,Kindle,21.26328955597248,20%-30%,$10-$20,10000-20000
0062931067,Cicely Tyson,USD,11.67,17.32,4,28.99,612.792,4.9,17201,3008.0,ATVPDKIKX0DER,Blessed Book,2021-12-21 23:35:37,Just as I Am: A Memoir,0,Biographies & Memoirs - Arts & Literature,19.0,9,0.6161616161616162,,1,Kindle,40.25526043463263,30%+,$10-$20,10000-20000
0061992275,"by Katherine Applegate (Author), Patricia Castelao (Illustrator)",USD,2.03,6.96,3,8.99,334.53000000000003,4.8,17657,1196.0,ATVPDKIKX0DER,ZBK Books,2021-12-21 23:35:39,The One and Only Ivan,0,"Children's Books - Arts, Music & Photography",19.0,55,0.4545454545454546,,1,Kindle,22.58064516129032,20%-30%,< $10,10000-20000
0061992887,C. S. Lewis,USD,34.67,20.33,8,55.0,907.84,4.8,11222,298.0,ATVPDKIKX0DER,Open Books,2021-12-21 23:23:21,Chronicles of Narnia Box Set,0,Children's Books - Literature & Fiction,19.0,99,0.20202020202020202,,1,Kindle,63.03636363636363,30%+,$20-$30,10000-20000
0140177396,John Steinbeck,USD,3.82,8.18,5,12.0,68.04,4.7,20075,2193.0,ATVPDKIKX0DER,giggil,2021-12-21 23:23:17,Of Mice and Men,0,Politics & Social Sciences - Politics & Government,19.0,180,0.393939393939394,,1,Kindle,31.83333333333333,30%+,< $10,20000-30000
0140186425,John Steinbeck,USD,8.31,6.69,3,15.0,119.07000000000001,4.7,20075,30532.0,ATVPDKIKX0DER,Murfbooks,2021-12-21 23:23:26,Of Mice and Men (Penguin Great Books of the 20th Century),0,Politics & Social Sciences - Politics & Government,19.0,394,0.8282828282828284,,1,Kindle,55.400000000000006,30%+,< $10,20000-30000
0062457713,Mark Manson,USD,15.49,11.5,3,26.99,192.78,4.6,58209,20.0,ATVPDKIKX0DER,Surfin' Jonny's Used Books.,2021-12-21 23:35:38,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,0,Self-Help - Happiness,19.0,0,0.393939393939394,,1,Kindle,57.39162652834383,30%+,$10-$20,50000+
0062457802,Adam Silvera,USD,4.92,8.07,4,12.99,317.52,4.7,18823,149.0,ATVPDKIKX0DER,Amazon,2021-12-21 23:35:37,They Both Die at the End,0,Teen & Young Adult - Literature & Fiction,19.0,162,0.030303030303030304,,1,Kindle,37.87528868360277,30%+,< $10,10000-20000
0062464310,Yuval Noah Harari,USD,4.01,33.49,2,37.5,1162.0352,4.6,12984,19075.0,ATVPDKIKX0DER,Momma's Media,2021-12-21 23:23:16,Homo Deus: A Brief History of Tomorrow,0,History - World,19.0,347,0.8383838383838385,,1,Kindle,10.693333333333332,10%-20%,$30+,10000-20000
0062464345,Yuval Noah Harari,USD,6.61,18.38,2,24.99,1089.408,4.6,12984,2813.0,ATVPDKIKX0DER,Alex BooksandMore,2021-12-21 23:23:31,Homo Deus: A Brief History of Tomorrow,0,History - World,19.0,344,0.16161616161616163,,1,Kindle,26.45058023209284,20%-30%,$10-$20,10000-20000
0062466593,Kim Krans,USD,11.38,28.61,4,39.99,758.0464,4.8,19404,3511.0,ATVPDKIKX0DER,Goodwill Industries of Southern Nevada,2021-12-21 23:35:38,The Wild Unknown Tarot Deck and Guidebook (Official Keepsake Box Set),0,Religion & Spirituality - New Age & Spirituality,19.0,318,1.0,,1,Cards,28.457114278569644,20%-30%,$20-$30,10000-20000
006246776X,Jory JohnPete Oswald,USD,7.26,11.73,3,18.99,433.75500000000005,4.8,11122,2231.0,ATVPDKIKX0DER,"James River Sales, LLC",2021-12-21 23:23:27,The Bad Seed (The Food Group),0,Children's Books - Growing Up & Facts of Life,19.0,97,0.7676767676767677,,1,Kindle,38.2306477093207,30%+,$10-$20,10000-20000
0062943472,Kate Quinn,USD,4.5,13.49,2,17.99,453.92,4.7,17211,887.0,ATVPDKIKX0DER,Amazon,2021-12-21 23:23:15,The Rose Code: A Novel,0,Literature & Fiction - Genre Fiction,19.0,253,0.9595959595959597,,1,Kindle,25.01389660922735,20%-30%,$10-$20,10000-20000
0062024027,Veronica Roth,USD,8.18,10.81,6,18.99,553.7824,4.6,29549,24645.0,ATVPDKIKX0DER,-OnTimeBooks-,2021-12-21 23:35:40,Divergent,0,Teen & Young Adult - Literature & Fiction,19.0,421,0.1717171717171717,,1,Kindle,43.0753027909426,30%+,$10-$20,20000-30000
0062024043,Veronica Roth,USD,6.0,11.99,6,17.99,612.792,4.6,19489,49034.0,ATVPDKIKX0DER,SIMYAH,2021-12-21 23:23:18,Divergent / Insurgent,0,Teen & Young Adult - Literature & Fiction,19.0,405,0.32323232323232326,,1,Kindle,33.35186214563647,30%+,$10-$20,10000-20000
0062024051,Veronica Roth,USD,1.5,11.49,3,12.99,422.415,4.6,19489,20932.0,ATVPDKIKX0DER,Rye Berry Books,2021-12-21 23:23:19,"Insurgent (Divergent Series, 2)",0,Teen & Young Adult - Literature & Fiction,19.0,413,0.43434343434343436,,1,Kindle,11.547344110854503,10%-20%,$10-$20,10000-20000
006202406X,Veronica Roth,USD,12.99,7.0,6,19.99,567.4,3.9,22362,83244.0,A1RX8T1COSPQUU,medialeadersmedialeaders,2021-12-21 23:35:44,Allegiant,0,Teen & Young Adult - Literature & Fiction,19.0,405,0.6969696969696971,1.0,1,Kindle,64.98249124562282,30%+,< $10,20000-30000
0062024078,Veronica Roth,USD,2.89,10.1,2,12.99,453.92,3.9,22362,23128.0,ATVPDKIKX0DER,GG 10 LLC,2021-12-21 23:23:19,"Allegiant (Divergent Series, 3)",0,Teen & Young Adult - Literature & Fiction,19.0,413,0.47474747474747475,,1,Kindle,22.247882986913012,20%-30%,$10-$20,20000-30000
0140280197,Robert Greene,USD,11.3,14.7,1,26.0,735.3504,4.7,33382,96.0,ATVPDKIKX0DER,Amazon,2021-12-21 23:23:18,The 48 Laws of Power,0,Politics & Social Sciences - Politics & Government,19.0,7,0.11111111111111112,,1,Kindle,43.46153846153846,30%+,$10-$20,30000-40000
0062498533,Angie Thomas,USD,9.87,9.12,4,18.99,430.92,4.8,21341,1642.0,ATVPDKIKX0DER,Amazon Warehouse,2021-12-21 23:23:18,The Hate U Give,0,Teen & Young Adult - Literature & Fiction,19.0,389,0.9292929292929294,,1,Kindle,51.97472353870458,30%+,< $10,20000-30000
0060850523,Aldous Huxley,USD,4.44,11.55,5,15.99,209.79000000000002,4.6,18262,1727.0,ATVPDKIKX0DER,gatecitybooks,2021-12-21 23:35:46,Brave New World,0,Literature & Fiction - United States,19.0,180,0.24242424242424243,,1,Kindle,27.76735459662289,20%-30%,$10-$20,10000-20000
0062963686,Ann Patchett,USD,6.1,10.9,1,17.0,272.16,4.4,26810,3877.0,ATVPDKIKX0DER,Retaliation Resale,2021-12-21 23:23:27,The Dutch House: A Novel,0,Literature & Fiction - Genre Fiction,19.0,193,0.33333333333333337,,1,Kindle,35.88235294117647,30%+,$10-$20,20000-30000
0062968394,Steve Doocy,USD,16.3,13.69,10,29.99,994.0848,4.6,15043,4845.0,ATVPDKIKX0DER,Rich Media Direct,2021-12-21 23:23:20,The Happy in a Hurry Cookbook: 100-Plus Fast and Easy New Recipes That Taste Like Home (The Happy Cookbook Series),0,"Cookbooks, Food & Wine - Cooking Education & Reference",19.0,113,0.2828282828282828,,1,Kindle,54.3514504834945,30%+,$10-$20,10000-20000
0062059947,Kiera Cass,USD,6.51,6.48,4,12.99,263.65500000000003,4.6,11072,5091.0,ATVPDKIKX0DER,Valleys Books & More,2021-12-21 23:23:16,"The Selection (The Selection, 1)",0,Teen & Young Adult - Science Fiction & Fantasy,19.0,396,0.060606060606060615,,1,Kindle,50.115473441108534,30%+,< $10,10000-20000
0062060619,Madeline Miller,USD,2.8,25.19,2,27.99,581.0176,4.7,31125,4956.0,ATVPDKIKX0DER,Goodwill of Colorado,2021-12-21 23:35:44,The Song of Achilles,0,Literature & Fiction - Genre Fiction,19.0,162,0.6464646464646465,,1,Kindle,10.003572704537335,10%-20%,$20-$30,30000-40000
